일자,회사명,이벤트,상세
2025-11-05,토비스,예심청구,재상장
2025-11-05,하나36호스팩,상장승인,신규상장
2025-11-05,네오뷰,예심청구,재상장
2025-11-06,코드잇,예심청구,신규상장
2025-11-06,덕양에너젠,상장승인,신규상장
2025-11-07,에식스솔루션즈,예심청구,신규상장
2025-11-07,져스텍,예심청구,신규상장
2025-11-10,케이뱅크,예심청구,신규상장
2025-11-11,덕산넵코어스,예심청구,신규상장
2025-11-11,IBKS제25호스팩,상장승인,신규상장
2025-11-12,레몬헬스케어,예심청구,신규상장
2025-11-12,미래에셋비전스팩10호,상장승인,신규상장
2025-11-13,디토닉,예심청구,신규상장
2025-11-13,삼성스팩13호,상장승인,신규상장
2025-11-14,세미티에스,예심청구,스팩 소멸합병
2025-11-17,마키나락스,예심청구,신규상장
2025-11-21,신한제17호스팩,예심청구,신규상장
2025-11-21,엔에이치스팩33호,예심청구,신규상장
2025-11-24,신한제18호스팩,예심청구,신규상장
2025-11-24,한화플러스제6호스팩,예심청구,신규상장
2025-11-26,무아스,예심청구,스팩 소멸합병
2025-11-26,폴레드,예심청구,신규상장
2025-11-28,매드업,예심청구,신규상장
2025-11-28,에스케이팩,예심청구,스팩 소멸합병
2025-11-28,인투코어테크놀로지,심사철회,신규상장
2025-12-01,교보20호스팩,예심청구,신규상장
2025-12-09,메타넷엑스,예심청구,신규상장
2025-12-10,세레신,심사미승인,신규상장
2025-12-11,키움히어로제2호스팩,예심청구,신규상장
2025-12-15,액스비스,상장승인,신규상장
2025-12-15,보원케미칼,상장승인,스팩 소멸합병
2025-12-15,시아스,심사철회,스팩 소멸합병
2025-12-16,빅웨이브로보틱스,예심청구,신규상장
2025-12-17,피스피스스튜디오,예심청구,신규상장
2025-12-18,카나프테라퓨틱스,상장승인,신규상장
2025-12-18,메쥬,상장승인,신규상장
2025-12-23,넥스트젠바이오,예심청구,신규상장
2025-12-24,코스모로보틱스,상장승인,신규상장
2025-12-24,인벤테라,상장승인,신규상장
2025-12-26,서울로보틱스,심사철회,신규상장
2025-12-29,리센스메디컬,상장승인,신규상장
2026-01-12,케이뱅크,상장승인,신규상장
2026-01-14,한화,예심청구,재상장
2026-01-16,케이앤에스아이앤씨,예심청구,신규상장
2026-01-16,파워큐브세미,예심청구,신규상장
2026-01-16,아이엠바이오로직스,상장승인,신규상장
2026-01-16,에스팀,상장승인,신규상장
2026-01-19,신한제17호스팩,상장승인,신규상장
2026-01-20,엔에이치스팩33호,상장승인,신규상장
2026-01-21,삼성스팩13호,상장,신규상장
2026-01-22,신한제18호스팩,상장승인,신규상장
2026-01-23,대신밸런스제20호스팩,예심청구,신규상장
2026-01-26,에식스솔루션즈,심사철회,신규상장
2026-01-27,한화플러스제6호스팩,심사철회,신규상장
2026-01-28,크몽,심사철회,신규상장
2026-01-29,케이피항공산업,상장승인,스팩 소멸합병
2026-01-29,한패스,상장승인,신규상장
2026-01-29,케이피항공산업,상장,스팩합병
2026-01-30,레메디,예심청구,신규상장
2026-01-30,스카이랩스,예심청구,신규상장
2026-01-30,인제니아테라퓨틱스,예심청구,신규상장
2026-01-30,덕양에너젠,상장,신규상장
2026-02-02,교보20호스팩,상장승인,신규상장
2026-02-05,세미티에스,상장승인,스팩 소멸합병
2026-02-05,한컴인스페이스,심사미승인,신규상장
2026-02-05,세미티에스,상장,스팩합병
2026-02-10,키움히어로제2호스팩,상장승인,신규상장
2026-02-12,케이솔루션,예심청구,스팩 존속합병
2026-02-25,딜리셔스,예심청구,신규상장
2026-02-27,피지티,예심청구,신규상장
2026-02-27,마키나락스,상장승인,신규상장
2026-02-27,채비,상장승인,신규상장
2026-03-04,메리츠제2호스팩,예심청구,신규상장
2026-03-05,케이뱅크,상장,신규상장
2026-03-06,에스팀,상장,신규상장
2026-03-09,액스비스,상장,신규상장
2026-03-12,토비스,예심승인,재상장
2026-03-12,네오뷰,예심승인,재상장
2026-03-16,코드잇,심사철회,신규상장
2026-03-16,카나프테라퓨틱스,상장,신규상장
2026-03-17,무아스,심사철회,스팩 소멸합병
2026-03-17,유빅스테라퓨틱스,심사철회,신규상장
2026-03-20,한국제16호스팩,예심청구,신규상장
2026-03-20,아이엠바이오로직스,상장,신규상장
2026-03-23,니어스랩,예심청구,신규상장
2026-03-23,해치텍,예심청구,신규상장
2026-03-24,인텔리빅스,예심청구,신규상장
2026-03-25,제이피이노베이션,예심청구,신규상장
2026-03-25,한패스,상장,신규상장
2026-03-26,피스피스스튜디오,상장승인,신규상장
2026-03-26,폴레드,상장승인,신규상장
2026-03-26,레몬헬스케어,상장승인,신규상장
2026-03-26,메쥬,상장,신규상장
2026-03-27,엔에이치스팩33호,상장,신규상장
2026-03-30,대신밸런스제20호스팩,상장승인,신규상장
2026-03-31,리센스메디컬,상장,신규상장
2026-04-01,신한제17호스팩,상장,신규상장
2026-04-02,져스텍,상장승인,신규상장
2026-04-02,스트라드비젼,상장승인,신규상장
2026-04-02,인벤테라,상장,신규상장
2026-04-02,교보20호스팩,상장,신규상장
2026-04-03,에이치엘지노믹스,예심청구,신규상장
2026-04-07,크리에이츠,예심청구,신규상장
2026-04-08,옵토닉스,예심청구,신규상장
2026-04-09,매드업,상장승인,신규상장
2026-04-10,엠비디,예심청구,신규상장
2026-04-13,글로벌테크놀로지,예심청구,신규상장
2026-04-15,와이즈플래닛컴퍼니,예심청구,신규상장
2026-04-16,브릴스,예심청구,신규상장
2026-04-16,엠에스바이오,예심청구,신규상장
2026-04-20,메타넷엑스,심사철회,신규상장
2026-04-21,기도산업,예심청구,신규상장
2026-04-22,네오사피엔스,예심청구,신규상장
2026-04-22,에스케이팩,심사철회,스팩 소멸합병
2026-04-23,빅웨이브로보틱스,예심승인,신규상장
2026-04-23,키움히어로제2호스팩,상장,신규상장
2026-04-27,메리츠제2호스팩,상장승인,신규상장
2026-04-29,채비,상장,신규상장
2026-04-30,멜콘,예심청구,신규상장
2026-04-30,모비어스,예심청구,신규상장
2026-04-30,바로팜,예심청구,신규상장
2026-04-30,텔레픽스,예심청구,신규상장
2026-04-30,디토닉,심사철회,신규상장
2026-04-30,신한제18호스팩,상장,신규상장
2026-05-06,아이벡스메디칼시스템즈,예심청구,신규상장
2026-05-07,레메디,상장승인,신규상장
2026-05-07,케이앤에스아이앤씨,예심승인,신규상장
2026-05-11,코스모로보틱스,상장,신규상장
2026-05-12,오토핸즈,예심청구,스팩 소멸합병
2026-05-14,폴레드,상장,신규상장
2026-05-19,엘리스그룹,예심청구,신규상장
2026-05-20,한국제16호스팩,상장승인,신규상장
2026-05-20,마키나락스,상장,신규상장
2026-05-21,넥스트에어로스페이스,예심청구,신규상장
2026-05-21,래블업,예심청구,신규상장
2026-05-21,비앤비코리아,예심청구,신규상장
2026-05-21,에이엔에이치스트럭쳐,예심청구,신규상장
2026-05-21,인제니아테라퓨틱스,예심승인,신규상장
2026-05-22,에이엘로봇,예심청구,신규상장
2026-05-26,케이솔루션,심사철회,스팩 존속합병
2026-05-28,다비오,예심청구,신규상장
2026-05-28,삼홍아크튜리온,예심청구,신규상장
2026-05-29,엔에이치스팩34호,예심청구,신규상장
2026-05-29,유캐스트,예심청구,신규상장
2026-05-29,인터엑스,예심청구,신규상장
2026-05-29,케이엠에프,예심청구,신규상장
2026-05-29,하나에어로다이내믹스,예심청구,신규상장
2026-05-29,제이피이노베이션,심사철회,신규상장
2026-06-05,대신밸런스제20호스팩,상장,신규상장
2026-06-08,피스피스스튜디오,상장,신규상장
2026-06-11,씨엔티테크,예심청구,신규상장
2026-06-11,제이앤티지,예심청구,신규상장
2026-06-12,에스케이증권제14호기업인수목적,예심청구,신규상장
2026-06-12,케이비제34호스팩,예심청구,신규상장
2026-06-12,한국제17호스팩,예심청구,신규상장
2026-06-12,한화플러스제6호스팩,예심청구,신규상장
2026-06-15,에이치엘지노믹스,상장승인,신규상장
2026-06-15,딜리셔스,예심승인,신규상장
2026-06-15,파워큐브세미,심사철회,신규상장
2026-06-16,넥스트젠바이오,심사철회,신규상장
2026-06-17,티앤이코리아,예심청구,신규상장
2026-06-18,영광,예심청구,신규상장
2026-06-19,럭스코,예심청구,스팩 소멸합병
2026-06-19,아이알큐더스,예심청구,신규상장
2026-06-19,이에스티,예심청구,신규상장
2026-06-19,메리츠제2호스팩,상장,신규상장
2026-06-23,바이다,예심청구,신규상장
2026-06-24,니어스랩,예심승인,신규상장
2026-06-24,해치텍,예심승인,신규상장
2026-06-24,스카이랩스,예심승인,신규상장
2026-06-25,싸이몬,예심청구,신규상장
2026-06-25,기도산업,예심승인,신규상장
2026-06-25,브릴스,예심승인,신규상장
2026-06-25,와이즈플래닛컴퍼니,예심승인,신규상장
2026-06-26,소노인터내셔널,예심청구,신규상장
2026-06-26,레메디,신고서(청약완료·상장대기),"20,700 (완료)"
2026-06-29,져스텍,상장,신규상장
2026-06-30,동승,예심청구,신규상장
2026-06-30,셀트릭스,예심청구,스팩 소멸합병
2026-06-30,에프엠더블유,예심청구,스팩 소멸합병
2026-06-30,한국제16호스팩,상장,신규상장
2026-06-30,스트라드비젼,상장,신규상장
2026-07-01,매드업,상장,신규상장
2026-07-03,엠디에스코리아,예심청구,신규상장
2026-07-06,진코스텍,예심청구,이전상장
2026-07-06,레몬헬스케어,상장,신규상장
2026-07-06,레메디,발행실적보고,"1,706.71"
2026-07-07,스카이랩스,신고서(최초),"13,000~16,000"
2026-07-08,케이앤에스아이앤씨,신고서(정정),"9,000~11,000"
2026-07-09,씨아이에스케미칼,예심청구,신규상장
2026-07-10,네오사피엔스,예심승인,신규상장
2026-07-10,엠에스바이오,예심승인,신규상장
2026-07-10,엔키화이트햇,예심청구,신규상장
2026-07-10,에이치엘지노믹스,신고서(청약완료·상장대기),"21,500"
2026-07-13,아이엠스팩1호,예심청구,신규상장
2026-07-13,에버온,예심청구,신규상장
2026-07-13,레메디,상장,신규상장
2026-07-13,브릴스,신고서(최초),"16,500~19,500"
2026-07-14,딜리셔스,신고서(정정),"5,000~7,000"
2026-07-14,기도산업,신고서(정정),"24,800~28,400"
2026-07-16,에이치엘지노믹스,발행실적보고,
2026-07-16,해치텍,신고서(정정),"23,000~28,000"
2026-07-20,덕산넵코어스,예심승인,신규상장
2026-07-20,디티에스,예심승인,신규상장
2026-07-21,넥스아이,예심청구,신규상장
2026-07-21,아델,예심청구,신규상장
2026-07-21,인제니아테라퓨틱스,신고서(정정),"12,000~14,500"
2026-07-21,빅웨이브로보틱스,신고서(정정),"20,000~24,000"
2026-07-21,니어스랩,신고서(정정),"30,000~41,200"
2026-07-22,엔에이치스팩34호,예심승인,신규상장
