기업명,진행상태,수요예측기간,밴드,공모주식수,공모금액,멀티플,확정공모가,수요예측경쟁률,참여기관수,청약일정,청약경쟁률,상장예정일,상장일,대표주관,공동주관,인수수수료,수수료율
매드업,상장완료,수집예정,"7,000~8,000","2,000,000","16,000","상대가치법·PER / 유사기업 PER 24.57배, 주당평가 11,573원, 할인율 39.5~30.8%",8000,1396.29,2392,2026-06-23~24,3304.76,,2026-07-01,미래,,742,4.5%
세미티에스,상장완료(스팩합병),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,2026-02-05,NH,,해당없음,해당없음
케이피항공산업,상장완료(스팩합병),해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,해당없음,,2026-01-29,NH,,해당없음,해당없음
신한제18호스팩,상장완료,,,,,,,,,,,,2026-04-30,,,,
키움히어로제2호스팩,상장완료,,,,,,,,,,,,2026-04-23,,,,
교보20호스팩,상장완료,,,,,,,,,,,,2026-04-02,,,,
신한제17호스팩,상장완료,,,,,,,,,,,,2026-04-01,,,,
엔에이치스팩33호,상장완료,,,,,,,,,,,,2026-03-27,,,,
케이뱅크,상장완료,,,,,,,,,,,,2026-03-05,,,,
레메디,청약완료·상장대기,완료,"17,800~20,700","1,200,000","24,840 (확정)",21.95 (PER),"20,700 (완료)","1,146.41","2,246",07-01~07-02,"1,706.71",2026-07-13,,KB,,"1,279",5.0%
에이치엘지노믹스,정정,07-02~ (완료 추정),"18,500~21,500","2,565,000","47,453 (하단)",12.85 (EV/EBITDA),,,,07-13~,,2026-07-24(예정),,KB,IBK,"1,211",
케이앤에스아이앤씨,정정,07-15~,"9,000~11,000","2,400,000","21,600 (하단)",47.97 (PER),,,,07-27~,,,,IBK,,"1,500",
인제니아테라퓨틱스,정정,07-20~,"12,000~14,500","5,000,000","60,000 (하단)",22.89 (PER),,,,07-30~,,,,삼성,,"4,095",
딜리셔스,최초,07-23~,"5,000~7,000","2,200,000","11,000 (하단)",23.93 (PER),,,,08-03~08-04,,,,한국,,566,5.0%
빅웨이브로보틱스,정정,07-27~,"20,000~24,000 (정정↓)","2,000,000","40,000 (하단)",16.19 (PSR),,,,08-05~,,,,유진,미래,"1,230",
니어스랩,최초,07-27~,"30,000~41,200","910,000","27,300 (하단)",47.56 (PER),,,,,,,,삼성,,"1,265",
해치텍,최초,07-29~,"23,000~28,000","1,000,000","23,000 (하단)",36.99 (PER),,,,,,,,DB,,"1,302",
기도산업,최초,07-31~,"24,800~28,400","1,700,000","42,160 (하단)",10.01 (PER),,,,,,,,미래,,758,
스카이랩스,최초,,,,,,,,,,,,,한국,,,
브릴스,미제출,,,,,,,,,,,,,IBK,,,
와이즈플래닛컴퍼니,미제출,,,,,,,,,,,,,대신,,,
